id,author,title,subjects,language,release_date
84,Shelley, Mary Wollstonecraft, 1797-1851,Frankenstein; Or, The Modern Prometheus,Science fiction,Horror tales,Gothic fiction,Scientists -- Fiction,Monsters -- Fiction,Frankenstein, Victor (Fictitious character) -- Fiction,Frankenstein's monster (Fictitious character) -- Fiction,English,Oct 1, 1993
46,Dickens, Charles, 1812-1870,A Christmas Carol in Prose; Being a Ghost Story of Christmas,Christmas stories,London (England) -- Fiction,Poor families -- Fiction,Ghost stories,Misers -- Fiction,Sick children -- Fiction,Scrooge, Ebenezer (Fictitious character) -- Fiction,English,Aug 11, 2004
1342,Austen, Jane, 1775-1817,Pride and Prejudice,England -- Fiction,Young women -- Fiction,Love stories,Sisters -- Fiction,Domestic fiction,Courtship -- Fiction,Social classes -- Fiction,English,Jun 1, 1998
2701,Melville, Herman, 1819-1891,Moby Dick; Or, The Whale,Whaling -- Fiction,Sea stories,Psychological fiction,Ship captains -- Fiction,Adventure stories,Mentally ill -- Fiction,Ahab, Captain (Fictitious character) -- Fiction,Whales -- Fiction,Whaling ships -- Fiction,English,Jul 1, 2001
1513,Shakespeare, William, 1564-1616,Romeo and Juliet,Vendetta -- Drama,Youth -- Drama,Verona (Italy) -- Drama,Juliet (Fictitious character) -- Drama,Romeo (Fictitious character) -- Drama,Conflict of generations -- Drama,Tragedies,English,Nov 1, 1998
145,Eliot, George, 1819-1880,Middlemarch,Didactic fiction,City and town life -- Fiction,England -- Fiction,Young women -- Fiction,Love stories,Domestic fiction,Married people -- Fiction,Bildungsromans,English,Jul 1, 1994
2641,Forster, E. M. (Edward Morgan), 1879-1970,A Room with a View,Humorous stories,England -- Fiction,Young women -- Fiction,British -- Italy -- Fiction,Florence (Italy) -- Fiction,English,May 1, 2001
37106,Alcott, Louisa May, 1832-1888,Little Women; Or, Meg, Jo, Beth, and Amy,Autobiographical fiction,Young women -- Fiction,Sisters -- Fiction,Domestic fiction,Family life -- New England -- Fiction,New England -- Fiction,Bildungsromans,Mothers and daughters -- Fiction,March family (Fictitious characters) -- Fiction,English,Aug 16, 2011
100,Shakespeare, William, 1564-1616,The Complete Works of William Shakespeare,English drama -- Early modern and Elizabethan, 1500-1600,English,Jan 1, 1994
67979,Montgomery, L. M. (Lucy Maud), 1874-1942,The Blue Castle: a novel,Self-actualization (Psychology) -- Fiction,Single women -- Fiction,Choice -- Fiction,Canada -- History -- 1914-1945 -- Fiction,Romance fiction,Love -- Fiction,Young adult fiction,English,May 3, 2022
